


0.生成新文件    数量：10, 总大小：4.31KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:9.309926ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.421036ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.213481ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:4.121926ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.079408ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.562666ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.721037ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.092ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.409333ms
JavaBuffRead:  文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.537186ms
------------------------------------------------------------------------
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:12.092444ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.090074ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.078222ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.359555ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.959704ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.327408ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.633482ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.568593ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:1.988ms
JavaMMap:      文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:2.371407ms
------------------------------------------------------------------------
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:10.037000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:3.554000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.436000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.834000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.429000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.822000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.685000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.807000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.682000ms
C++MMap:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.674000ms
------------------------------------------------------------------------
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:6.857000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.606000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.581000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.576000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.572000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.568000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.571000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.589000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.572000ms
C++Read:       文件数量:10, 总大小:4416, 文件大小:151B ~ 749B, 时间:0.572000ms



1.生成新文件    数量：100, 总大小：51.31KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:109.55926ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:31.436296ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:22.861776ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:17.740444ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:17.190222ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:17.51348ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:17.506964ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:41.098072ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:24.143852ms
JavaBuffRead:  文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:31.570667ms
------------------------------------------------------------------------
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:77.50726ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:23.416296ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:36.596294ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:22.302519ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:22.068ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:29.019852ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:21.238962ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:18.657036ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:18.139853ms
JavaMMap:      文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:18.108591ms
------------------------------------------------------------------------
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:63.471000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:5.207000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:5.136000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.352000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.393000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.355000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.349000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.539000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.355000ms
C++MMap:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.342000ms
------------------------------------------------------------------------
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:70.478000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:6.036000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:3.819000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.449000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.279000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.305000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.289000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:3.811000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.087000ms
C++Read:       文件数量:100, 总大小:52540, 文件大小:4.00B ~ 0.98KB, 时间:4.109000ms



2.生成新文件    数量：300, 总大小：145KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:284.7166ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:69.612ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:111.17555ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:82.27896ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:109.0037ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:98.16578ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:77.917336ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:86.17926ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:111.806816ms
JavaBuffRead:  文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:93.852745ms
------------------------------------------------------------------------
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:277.77112ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:80.02489ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:54.73659ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:54.389633ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:55.456444ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:54.78207ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:54.578667ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:56.556442ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:56.140446ms
JavaMMap:      文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:53.891556ms
------------------------------------------------------------------------
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:209.352000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.944000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.760000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.632000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.659000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:12.821000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.823000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.816000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.870000ms
C++MMap:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:12.002000ms
------------------------------------------------------------------------
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:201.398000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:12.138000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.711000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.707000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.733000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.684000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:12.345000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.715000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:12.554000ms
C++Read:       文件数量:300, 总大小:148575, 文件大小:1.00B ~ 1.00KB, 时间:11.694000ms



3.生成新文件    数量：800, 总大小：400KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:803.536ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:204.68149ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:213.61186ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:193.43259ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:198.25703ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:211.02681ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:255.05956ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:200.96637ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:215.68608ms
JavaBuffRead:  文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:233.36696ms
------------------------------------------------------------------------
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:764.05884ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:141.11955ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:141.60577ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:147.91068ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:149.49792ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:142.02696ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:142.83273ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:143.77214ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:141.05408ms
JavaMMap:      文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:315.4018ms
------------------------------------------------------------------------
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:552.953000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.282000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:30.172000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:35.455000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:30.777000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:30.456000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:30.433000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.057000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.171000ms
C++MMap:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:32.381000ms
------------------------------------------------------------------------
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:589.441000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:32.250000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.219000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.429000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:43.497000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.574000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.215000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.945000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.433000ms
C++Read:       文件数量:800, 总大小:409416, 文件大小:0.00B ~ 1.00KB, 时间:31.200000ms



4.生成新文件    数量：1500, 总大小：737KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:1960.9967ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:367.26074ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:385.21747ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:394.62415ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:376.92993ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:367.63702ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:355.08862ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:406.37854ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:399.41748ms
JavaBuffRead:  文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:441.23273ms
------------------------------------------------------------------------
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:1699.3751ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:282.75217ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:269.20743ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:266.92682ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:493.26297ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:487.63022ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:291.9206ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:270.72592ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:279.9126ms
JavaMMap:      文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:521.2566ms
------------------------------------------------------------------------
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:1412.408000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:56.934000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.361000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.753000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.922000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:56.943000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.711000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.426000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:57.735000ms
C++MMap:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:56.830000ms
------------------------------------------------------------------------
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:1427.219000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:59.813000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.336000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.521000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.117000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.263000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:59.644000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.390000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.385000ms
C++Read:       文件数量:1500, 总大小:754843, 文件大小:0.00B ~ 1.00KB, 时间:58.029000ms



5.生成新文件    数量：2000, 总大小：0.96MB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:2516.167ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:599.68713ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:614.35126ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:476.15527ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:453.05853ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:418.04266ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:534.4127ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:461.7852ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:473.052ms
JavaBuffRead:  文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:490.8782ms
------------------------------------------------------------------------
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:2515.1309ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:350.07733ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:349.6009ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:613.60785ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:395.76755ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:366.908ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:493.73303ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:464.9191ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:373.28088ms
JavaMMap:      文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:368.96338ms
------------------------------------------------------------------------
C++MMap:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:2060.016000ms
